cell_id,dataset,condition,realization,order,status,artifact_complete,missing_checkpoints,scientific_admission,endpoint_complete,invalid_reason,endpoint_complete_scope,primary_metrics_complete,full_validation_complete,sampled_drift_complete,unreceipted_checkpoints
da9f71bdb9a8981dac078e6c,counterfact,R1_nonlearned,2,104,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
9e98169ae668b50d60694317,mquake,R1_nonlearned,2,100,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
ff570734d7837a1ba9e77528,mquake,R1_nonlearned,2,101,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
4fd2bc51397502cb1c085b5c,mquake,R1_nonlearned,2,102,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
c0e77c94b06dd3464838be93,mquake,R1_nonlearned,2,103,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
4c700c665ce70ca41e4569dd,mquake,R1_nonlearned,2,104,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
dc17fc3637068157dba0207d,zsre,v0_stable,2,100,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
727b32ab9723cb9feba71636,zsre,v0_stable,2,101,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
a02980b0886a222f8e2f58e8,zsre,v0_stable,2,102,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
9aeb330f6c7e29c85ee56da0,zsre,v0_stable,2,103,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
0e0ee9a35e1116f7dafb423d,zsre,v0_stable,2,104,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
862cd40c359e48e5a7998e3f,counterfact,v0_stable,2,100,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
89b258fddde381d9a09429d9,counterfact,v0_stable,2,101,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
090d1237381f4ee02fcbd05d,counterfact,v0_stable,2,102,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
6e95ec72097ffded952889d6,counterfact,v0_stable,2,103,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
c8ce51b334cc3e42a623be6c,counterfact,v0_stable,2,104,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
cf6bd4a623aa24871f74d136,mquake,v0_stable,2,100,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
